Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Amfotericina B,AMFOTERICINA B 100MG 20ML 1 UNITA' USO PARENTERALE,ABELCET*10 flaconcini EV 100 mg 20 ml + 10 aghi,1.421 90,861 56,-,TEVA ITALIA Srl,033002015,ADM,
Aripiprazolo,ARIPIPRAZOLO 400MG 2 ML 1 UNITA' USO PARENTERALE RP,ABILIFY MAINTENA*1 flaconcino IM 400 mg + 1 flaconcino solv 2 ml rilascio prolungato,418 40,253 52,-,OTSUKA PHARMACEUTIC.ITALY Srl,043143027,HSE,
Aripiprazolo,ARIPIPRAZOLO 9 75MG 1 3ML 1 UNITA' USO PARENTERALE,ABILIFY*1 flaconcino IM 1 3 ml 7 5 mg/ml,5 02,3 04,-,OTSUKA PHARMACEUTIC.ITALY Srl,036582207,AER,
Paclitaxel,PACLITAXEL 100MG 50ML 1 UNITA' USO PARENTERALE,ABRAXANE*1 flaconcino EV 100 mg polv,364 92,221 11,-,CELGENE Srl,039399011,BGV,
Epoetina Alfa,EPOETINA ALFA 10.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe 10.000 UI 1 ml,843 47,511 07,-,FIDIA FARMACEUTICI SpA,038494163,ANO,
Epoetina Alfa,EPOETINA ALFA 8.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe 8.000 UI 0 8 ml,674 65,408 78,-,FIDIA FARMACEUTICI SpA,038494148,ANV,
Epoetina Alfa,EPOETINA ALFA 1.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 1.000 UI 0 5 ml,84 37,51 12,-,FIDIA FARMACEUTICI SpA,038494023,ANN,
Epoetina Alfa,EPOETINA ALFA 2.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 2.000 UI 1 ml,168 85,102 31,-,FIDIA FARMACEUTICI SpA,038494047,ANP,
Epoetina Alfa,EPOETINA ALFA 3.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 3.000 UI 0 3 ml,252 92,153 24,-,FIDIA FARMACEUTICI SpA,038494062,ANQ,
Epoetina Alfa,EPOETINA ALFA 4.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 4.000 UI 0 4 ml,337 37,204 42,-,FIDIA FARMACEUTICI SpA,038494086,ANR,
